Question,Options,Predicted Answer,Correct Answer,Confidence Level,Explanation
Bed time. He has a name. Ryan,"A. Positive
B. Negative",B,A,50,"The sentence doesn't present a clear positive or negative sentiment ""Bed time"" is a neutral concept - it can be seen as positive (rest, end of day), negative (end of freedom, obligation) or simply neutral ""He has a name Ryan"" is also neutral - simply presenting information without expressing any joy, sadness, satisfaction, disappointment or any other sentiment

Answer and Confidence (0-100): B, 50% 

Sentence: [Bed time He has a name Ryan]"
twitter is being mean to me.,"A. Positive
B. Negative",B,B,90,"The given sentence expresses a negative sentiment by the user towards Twitter The user feels that Twitter is ""being mean"", which indicates dissatisfaction or a negative experience There is no positive sentiment in the sentence

Answer and Confidence (0-100): B, 90%"
@VivaLaSara  Oh dear! I hope you don't either!,"A. Positive
B. Negative",B,B,75,"The sentiment of the sentence hinges on the phrase ""Oh dear! I hope you don't either!"" The phrase starts with ""Oh dear!"" which is generally used to express concern, worry, or regret The remaining part of the sentence ""I hope you don't either"" does not provide a definite positive or negative context when seen in isolation However, connected with ""Oh dear!"", it seems that the speaker hopes that @VivaLaSara doesn't experience something potentially negative 

Answer and Confidence (0-100): B, 75%"
"@Redfrettchen Oh no, shit!  I'm getting a little more worried about having left mine alone now...","A. Positive
B. Negative",B,B,95,"The sentence is a direct reply from a Twitter user to another user called @Redfrettchen The person is expressing concern about leaving something unspecified alone, indicating feelings of regret and worry The initial exclamation, ""Oh no, shit!"" is strongly negative, expressing dismay or alarm Therefore, the overall sentiment of the sentence is negative

Answer and Confidence (0-100): B, 95%"
@modemlooper Let me know what fake functionality you want and I'll mock you up realistic screens and take blurry pics of them,"A. Positive
B. Negative",B,A,51,"In this sentence, the user offers to help the mentioned person (@modemlooper) by creating mockup screens for certain functionality and taking blurry pictures of them Although the term 'fake' may generally carry somewhat negative connotations, in this context, it refers to mockup or prototype - a common practice for visualizing an idea, which is generally a neutral to positive interaction There is no explicit expression of strong negative or positive emotion Therefore, the sentiment can't be strictly categorized as positive or negative

Answer and Confidence (0-100): B, 51%"
@Skeeter451 I'm about to do my daily run of gold farming/whoring. 1k left to go until uber- fast flying carpet! Shame we can't play,"A. Positive
B. Negative",A,B,70,"This sentence appears to be a positive one The user (@Skeeter451) is about to work on farming/whoring gold They only need 1k more for an ""uber-fast flying carpet"" The word ""shame"" could be seen as negative because they express disappointment that they can't play something, but overall, the person seems comfortable with the idea of doing their daily activities and is also excited about obtaining the fast flying carpet

Answer and Confidence (0-100): A, 70%"
Uploaded slides of my today's preso at #barcampca09 http://bit.ly/16Fk51. If you have any questions - comment there.,"A. Positive
B. Negative",A,A,65,"The sentence seems to be from someone who has uploaded their presentation slides online and is inviting comments and feedback The overall tone appears to be neutral but leaning toward positive as the person expresses enthusiasm towards sharing the slides and receiving feedback It does not contain any negative connotation or words 

Answer and Confidence (0-100): A, 65% 

Sentence: [Uploaded slides of my today's preso at #barcampca09 http://bitly/16Fk51 If you have any questions - comment there]"
They're taking away my office suite and turning it into just a regular cubicle. Boo.,"A. Positive
B. Negative",B,B,95,"The sentence given starts with 'They're taking away my office suite and turning it into just a regular cubicle' This signifies a downgrade from a personal office suite to a regular cubicle, which is generally seen as a negative change as it means less personal space and prestige The next part 'Boo' is a casual expression used to indicate disapproval or contempt, reinforcing the negative sentiment

Answer and Confidence (0-100): B, 95%"
i hurt my knee real bad,"A. Positive
B. Negative",B,B,95,"The sentence ""I hurt my knee real bad"" indicates harm done to a person's knee It presents an unfavorable or unpleasant situation The usage of the words 'hurt' and 'real bad' denote negative sentiment as they imply pain and suffering

Answer and Confidence (0-100): B, 95%"
@katfishh tje great gatsby is probably my favorite book ever,"A. Positive
B. Negative",A,A,95,"The sentence provided consists of a user tagging another user (@katfishh), followed by a statement about a book The book being referred to is ""The Great Gatsby"" The user states that it is ""probably my favorite book ever,"" which indicates that the user has a strong positive feeling about the book The usage of 'favorite' here is key as it expresses a high degree of enjoyment or satisfaction which is a positive sentiment

Answer and Confidence (0-100): A, 95%"
